episode,score,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z
56,5089.1476,-0.0,-0.08,0.0,-0.05,-0.31,-1.16
57,7422.1612,-0.01,-0.16,0.0,-0.13,-1.11,-1.86
58,12579.7516,-0.03,-0.31,0.0,-0.35,-0.21,-2.3
59,15945.2807,-0.08,-0.43,0.0,-0.56,-1.87,-1.1
60,15907.2178,-0.05,-0.45,0.0,-0.37,-1.94,-1.09
61,7419.3830,-0.0,-0.18,0.0,-0.04,-1.12,-1.75
62,5197.1616,-0.0,-0.06,0.0,-0.01,0.09,-0.68
63,5533.9072,-0.0,-0.03,0.0,-0.01,-0.26,0.11
64,5469.7328,-0.0,-0.04,0.0,-0.01,-0.64,-1.13
65,5557.4633,-0.0,-0.04,0.0,-0.01,-0.55,0.26
66,5045.4245,-0.0,0.06,0.0,-0.01,1.95,-2.13
67,11074.5345,-0.01,0.4,0.0,-0.15,0.83,-4.77
68,4614.2186,-0.0,0.12,0.0,-0.01,1.47,-3.15
69,6624.7377,-0.0,0.46,0.0,-0.04,5.41,-4.26
70,13714.3305,-0.04,4.32,0.0,-0.27,17.81,-6.3
71,81592.0090,-4.97,150.0,0.0,-5.15,879.7,-266.81
72,184331.9638,-2.12,24.43,125.42,-1.08,12.57,25.6
73,201405.8405,-0.66,4.78,127.92,-0.34,2.54,28.07
74,204572.2193,-0.25,1.32,128.02,-0.09,0.63,28.17
75,205341.9679,-0.35,0.64,128.02,-0.2,0.28,28.18
76,205880.8525,-0.15,0.22,128.03,-0.07,0.08,28.18
77,205848.4778,-0.12,0.41,128.03,-0.03,0.21,28.18
78,206007.8513,-0.18,0.32,128.03,-0.13,0.19,28.18
79,206200.0208,0.04,0.13,128.03,0.03,0.07,28.18
80,206124.3054,-0.05,0.11,128.03,0.01,0.03,28.18
81,206202.1168,0.13,0.08,128.03,0.13,0.05,28.18
82,206194.5744,0.12,0.17,128.03,0.1,0.11,28.18
83,206252.2694,0.08,0.12,128.03,0.06,0.09,28.18
84,206246.6221,-0.18,-0.17,128.03,-0.14,-0.14,28.18
85,206186.0479,0.1,0.29,128.03,0.09,0.21,28.18
86,206313.0561,-0.01,-0.07,128.03,-0.01,-0.04,28.18
87,206162.2176,-0.25,0.11,128.03,-0.15,0.07,28.18
88,206219.2566,-0.09,-0.1,128.03,-0.01,-0.1,28.18
89,206276.9095,-0.06,0.05,128.03,-0.01,0.07,28.18
90,206125.5730,-0.11,-0.27,128.03,-0.02,-0.18,28.18
91,206265.3117,-0.11,-0.08,128.03,-0.06,-0.04,28.18
92,206305.7037,0.02,0.2,128.03,0.03,0.16,28.18
93,206216.3177,0.36,0.05,128.03,0.31,0.02,28.18
94,206253.2025,-0.17,-0.1,128.03,-0.14,-0.08,28.18
95,206158.0875,-0.13,-0.21,128.03,-0.08,-0.12,28.18
96,206238.4722,-0.18,0.04,128.03,-0.12,0.03,28.18
97,206302.7870,0.08,0.07,128.03,0.08,0.05,28.18
98,206201.9435,-0.09,0.21,128.03,-0.04,0.17,28.18
99,206262.3975,-0.17,-0.0,128.03,-0.12,0.01,28.18
100,206333.2148,-0.02,0.04,128.03,-0.03,0.03,28.18
101,206263.0130,0.02,-0.18,128.03,0.0,-0.13,28.18
102,206170.2487,-0.26,0.12,128.03,-0.16,0.08,28.18
103,206294.3379,0.13,0.07,128.03,0.1,0.07,28.18
104,206185.5340,-0.02,-0.29,128.03,0.01,-0.21,28.18
105,206232.2320,0.16,-0.13,128.03,0.13,-0.07,28.18
106,206187.0223,-0.04,0.1,128.03,-0.0,0.03,28.18
107,206188.2889,-0.26,0.02,128.03,-0.17,0.04,28.18
108,206103.7890,-0.36,-0.02,128.03,-0.22,0.0,28.18
109,206195.4813,-0.19,-0.05,128.03,-0.13,-0.01,28.18
110,206093.5648,-0.19,0.15,128.03,-0.08,0.12,28.18
111,205762.3978,-0.7,-0.22,128.02,-0.44,-0.15,28.17
112,205594.6802,-0.69,0.12,128.02,-0.35,0.09,28.18
113,222204.2613,-2.82,-0.0,10.99,0.18,-0.0,-20.98
