time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,5.3935822183e-08,-7.09104612398e-08,9.99875404573,6.28300202134,6.28307356902,0.0,6.09281070665e-06,-9.1160734983e-06,-0.0415323088118,-0.00999691261836,-0.00587441248587,0.0,390.0816835634788,389.53282584329673,389.4973157627707,388.56140766211297
0.12000000000000001,4.51757256142e-06,-7.40777317875e-06,10.0021029109,6.28195347591,6.28230126183,0.0,0.000200839172148,-0.000322451949382,0.15315521908,-0.0398690210394,-0.0329965421056,0.0,466.1847229014029,464.0610211571359,467.9831888916038,465.65254269217013
0.18,4.12784470321e-05,-5.98260109959e-05,10.0133392057,6.27943866965,6.28020617358,0.0,0.00122246401724,-0.00166319789274,0.22137580522,-0.046351192843,-0.039067572507,0.0,427.2319575500405,426.7135196817859,426.76903659629613,426.2144499126192
0.23999999999999996,0.000190346666603,-0.000253091210915,10.0311771043,6.27744943125,6.27742256966,0.0,0.00401989014757,-0.00503141757255,0.37318059517,-0.0149705039795,-0.0680273996276,0.0,454.3798977715684,452.05119529668946,451.7471989231852,454.26948924633894
0.3,0.000548065984203,-0.000660403413319,10.053805098,6.27677533015,6.27287693097,0.0,0.00827800215156,-0.00861431795458,0.381080066241,-0.0046515059785,-0.0994341766085,0.0,408.6710195423981,405.85674098224075,405.8554218575956,406.78048048536726
0.36000000000000004,0.00130079329298,-0.00132269963437,10.0815036384,6.27626699503,6.26741073968,0.0,0.0174427875619,-0.013503970405,0.542133402986,-0.0174867244649,-0.0782066173511,0.0,455.16934068325895,456.857754401613,456.61691305750423,455.5921034096412
0.4200000000000001,0.00280878007015,-0.00232830240786,10.1240885948,6.27612239185,6.26258074018,0.0,0.0334708945446,-0.0200823672789,0.877157344726,0.0175275119431,-0.0855307498292,0.0,506.1943683160566,505.66272795054954,505.62341642374105,508.13935570000945
0.48000000000000015,0.00528943070818,-0.00368313789422,10.1809770224,6.2776734659,6.25754355756,0.0,0.0497648401212,-0.0249331117669,1.0189958274,0.0387452821454,-0.080972753041,0.0,450.07280738665366,450.4358385134514,450.5605600812399,452.2726091781345
0.5400000000000001,0.00892601280611,-0.00530379789978,10.2489718223,6.27986510964,6.25273010222,0.0,0.0720335945555,-0.0288140255033,1.24726125611,0.0316762694974,-0.0787686541067,0.0,477.19827275490553,477.36177520509426,476.99607510682057,476.45650263577375
0.6000000000000002,0.0139236676102,-0.00709648848954,10.3277070218,6.28193502793,6.24769446928,0.0,0.0950664813587,-0.0307300802562,1.3770807569,0.0396168118056,-0.0970087897004,0.0,449.21582886026215,447.7285784230504,447.0629328792987,447.70988095686624
0.6600000000000003,0.0202493853893,-0.00895409428505,10.4096685233,0.00112980390794,6.24162399766,0.0,0.116289036214,-0.0309905415297,1.3549761464,0.0397703102994,-0.111169229283,0.0,399.1250498646873,397.82037933835466,398.2768318744127,398.2918674551253
0.7200000000000003,0.0279331127548,-0.0107875408909,10.4898079595,0.00364984361444,6.23492620339,0.0,0.140381303784,-0.0299241853991,1.31635811074,0.0461237555601,-0.112566680268,0.0,393.5240950396783,393.3819052351915,391.37349285288786,391.9655432718486
0.7800000000000004,0.0374109812041,-0.0124936581995,10.5724309138,0.00697905657862,6.22771258758,0.0,0.176265516067,-0.0266218959386,1.43755441159,0.069610253428,-0.143501364461,0.0,447.62194512582624,445.0839349174444,443.8690491396305,445.79411506372696
0.8400000000000004,0.0490430507211,-0.013947278411,10.6595215364,0.0106223611904,6.21923342117,0.0,0.212247027422,-0.0214636117528,1.46537866071,0.0296466966283,-0.13728271966,0.0,415.5762646266852,416.10083045663765,417.5941198264718,414.09627062661207
0.9000000000000005,0.0634358028123,-0.0149574572926,10.7550948457,0.0127725788939,6.21163580607,0.0,0.268468294553,-0.0119655293336,1.71997529584,0.0459894452541,-0.111062709826,0.0,485.6245898810209,487.57364381509933,484.9985474863682,486.22477200538344
0.9600000000000005,0.0811775135165,-0.0153776087601,10.8630505843,0.0156003926431,6.20464744806,0.0,0.323653194114,-0.00173454286067,1.87823428572,0.0493187087328,-0.130394512471,0.0,458.4950477324404,456.94469658253115,459.23521064952837,459.5004465648123
1.0200000000000005,0.102398252687,-0.0151183941059,10.980576762,0.0186858360878,6.19691342071,0.0,0.384542748809,0.010705015979,2.0389446579,0.0553319727285,-0.126071147489,0.0,459.66385325955486,459.9917159226536,459.8833949494339,460.3610124428101
1.0800000000000005,0.127742182428,-0.0139769788606,11.1111176561,0.0219411993111,6.18963955638,0.0,0.461149961176,0.0277497707581,2.31179747275,0.052013283691,-0.112986299356,0.0,492.5096295805247,493.4646036064675,494.3228913673046,494.0799233412605
1.1400000000000006,0.157756805832,-0.011755910974,11.2568611232,0.0247197922878,6.18316731817,0.0,0.540089821927,0.046636106774,2.54571959404,0.0313487355521,-0.0992253183589,0.0,482.5819081534062,483.61015138912353,485.07869599765183,483.5255033357449
1.2000000000000006,0.192428840533,-0.00839682806847,11.4143116625,0.0267570039843,6.17709807305,0.0,0.616263887319,0.0655387231802,2.70217749025,0.0387104767376,-0.105317641665,0.0,461.143738632115,460.653773562403,462.7606927794206,463.3402221796743
1.2600000000000007,0.231539148235,-0.00392434587506,11.5786511245,0.0288551688854,6.17140509334,0.0,0.687968685368,0.0837548251516,2.77553473666,0.0261808327072,-0.0795570234169,0.0,436.4961402677171,438.63246882184757,437.01220823742716,435.9670994553242
